context,n_5m,detector,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
1h_n8,2,atr,1.5,0,3,0,8704,-2.2495,0.3834,18.8764,-100.0000,-100.0000,7912.6092,8.6284,-16.304,2.2711,0.2314,4.4340,90.5216,0,2182,38.4604,6.5008
1h_n8,2,atr,1.5,0,3,0.3,7089,-1.5761,0.4020,21.2442,-100.0000,-100.0000,7853.7704,8.5276,-14.352,1.5849,0.2679,3.6113,88.5033,1617,2174,38.4604,6.5008
1h_n8,2,atr,1.5,0,3,0.5,5222,-1.2541,0.4210,22.5010,-99.9990,-99.9990,7962.1809,8.0258,-11.803,1.2638,0.3150,2.6602,84.7759,3489,2139,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,1.5,0,10833,-2.8542,0.2683,18.0375,-100.0000,-100.0000,7552.8919,5.2198,-21.157,2.8113,0.2106,5.5186,91.7567,0,1383,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,1.5,0.3,8053,-1.6466,0.3051,23.3205,-100.0000,-100.0000,7647.1845,5.1755,-17.765,1.6243,0.2604,4.1024,89.1221,2783,1380,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,1.5,0.5,5742,-1.2858,0.3212,27.9693,-99.9997,-99.9997,7701.8407,4.9443,-14.465,1.2726,0.3106,2.9251,85.2839,5097,1376,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,2,0,10701,-2.8126,0.3185,18.7272,-100.0000,-100.0000,7756.1314,6.7048,-19.631,2.8038,0.2113,5.4513,91.7111,0,1898,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,2,0.3,7957,-1.6181,0.3618,23.8532,-100.0000,-100.0000,7911.6822,6.6262,-16.264,1.6179,0.2613,4.0535,89.0662,2746,1892,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,2,0.5,5679,-1.2713,0.3822,27.0470,-99.9996,-99.9996,8034.7438,6.2793,-13.213,1.2719,0.3115,2.8930,85.2263,5028,1881,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,3,0,10411,-2.7566,0.3917,17.7793,-100.0000,-100.0000,8308.0563,9.2977,-17.776,2.7900,0.2128,5.3036,91.5858,0,2888,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,3,0.3,7750,-1.5941,0.4295,21.4065,-100.0000,-100.0000,8295.3276,9.1559,-14.643,1.6126,0.2630,3.9480,88.9161,2663,2875,38.4604,6.5008
1h_n8,2,atr,1.5,0.1,3,0.5,5540,-1.2474,0.4291,22.8520,-99.9994,-99.9994,8000.4143,8.5698,-11.792,1.2666,0.3134,2.8222,85.0361,4880,2823,38.4604,6.5008
1h_n8,2,atr,2,0,1.5,0,7737,-2.2293,0.2641,20.5506,-100.0000,-100.0000,7549.7074,4.7988,-17.791,2.1903,0.2395,3.9414,89.8798,0,775,39.1961,6.2725
1h_n8,2,atr,2,0,1.5,0.3,6411,-1.5704,0.2940,24.2240,-99.9999,-99.9999,7734.2032,4.7768,-15.807,1.5460,0.2744,3.2659,87.8802,1328,774,39.1961,6.2725
1h_n8,2,atr,2,0,1.5,0.5,4866,-1.2565,0.3269,28.2984,-99.9977,-99.9976,8085.3672,4.6299,-13.272,1.2376,0.3185,2.4789,84.3609,2875,774,39.1961,6.2725
1h_n8,2,atr,2,0,2,0,7642,-2.1939,0.3238,20.8846,-100.0000,-100.0000,7914.1976,6.1741,-16.446,2.1858,0.2402,3.8930,89.8456,0,1106,39.1961,6.2725
1h_n8,2,atr,2,0,2,0.3,6335,-1.5464,0.3553,24.3567,-99.9999,-99.9999,8104.5942,6.1343,-14.54,1.5433,0.2751,3.2272,87.8453,1309,1105,39.1961,6.2725
1h_n8,2,atr,2,0,2,0.5,4806,-1.2423,0.3902,27.1119,-99.9974,-99.9973,8465.6955,5.9108,-12.243,1.2353,0.3196,2.4483,84.2905,2840,1105,39.1961,6.2725
1h_n8,2,atr,2,0,3,0,7463,-2.1587,0.3797,19.3756,-100.0000,-100.0000,8181.6729,8.5253,-14.833,2.1812,0.2415,3.8018,89.7092,0,1698,39.1961,6.2725
1h_n8,2,atr,2,0,3,0.3,6189,-1.5299,0.4143,21.5705,-99.9999,-99.9999,8396.8637,8.4550,-13.084,1.5400,0.2766,3.1528,87.6878,1276,1697,39.1961,6.2725
1h_n8,2,atr,2,0,3,0.5,4696,-1.2322,0.4346,22.5085,-99.9968,-99.9967,8420.6508,8.0602,-11.061,1.2318,0.3214,2.3923,84.0928,2771,1695,39.1961,6.2725
1h_n8,2,atr,2,0.1,1.5,0,9183,-2.7228,0.2598,18.9481,-100.0000,-100.0000,7654.3106,5.0451,-19.319,2.6794,0.2208,4.6780,90.9724,0,989,39.1961,6.2725
1h_n8,2,atr,2,0.1,1.5,0.3,6993,-1.6007,0.3008,24.0526,-100.0000,-100.0000,7823.3214,5.0135,-16.319,1.5788,0.2690,3.5624,88.3026,2193,987,39.1961,6.2725
