context,n_15m,detector,atr_mult,buffer,r_target,k_stop,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,share_stop_dominated_pct,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
4h_n5,3,fractal,-,0,3,3,1479,-0.1037,0.8291,30.9669,-59.7888,-54.8194,6937.0102,27.7935,-1.303,0.1349,2.1130,0.7534,0.3381,99.1886,2372,39.3709,2.4641
4h_n5,3,fractal,-,0,3,4,1333,-0.0969,0.8066,32.7832,-52.1566,-48.6739,4855.8658,32.1074,-1.339,0.1012,2.8052,0.6791,0.0000,99.8500,2744,39.3709,2.4641
4h_n5,3,fractal,-,0.1,1.5,3,1790,-0.1117,0.8004,35.9218,-64.3874,-63.9580,7348.3251,25.4199,-1.904,0.1321,2.1756,0.9119,0.2235,99.2179,2657,39.3709,2.4641
4h_n5,3,fractal,-,0.1,1.5,4,1573,-0.0939,0.8023,35.4736,-54.3680,-53.0503,5306.8946,31.1993,-1.662,0.0990,2.8976,0.8013,0.0636,99.8729,3197,39.3709,2.4641
4h_n5,3,fractal,-,0.1,2,3,1673,-0.1066,0.8162,32.9348,-62.6075,-60.0110,7118.8928,28.4152,-1.571,0.1322,2.1801,0.8523,0.2391,99.2230,2934,39.3709,2.4641
4h_n5,3,fractal,-,0.1,2,4,1490,-0.0865,0.8256,34.0268,-51.1044,-48.5275,5350.6983,33.5697,-1.358,0.0993,2.8946,0.7590,0.0671,99.8658,3408,39.3709,2.4641
4h_n5,3,fractal,-,0.1,3,3,1572,-0.1016,0.8387,30.6616,-61.2979,-56.3795,7336.9352,31.4942,-1.283,0.1331,2.1634,0.8008,0.2545,99.2366,3181,39.3709,2.4641
4h_n5,3,fractal,-,0.1,3,4,1401,-0.0994,0.8082,32.3340,-55.0727,-51.2772,4957.0493,35.9321,-1.368,0.0998,2.8792,0.7137,0.0714,99.8572,3620,39.3709,2.4641
4h_n5,3,atr,2,0,1.5,3,1421,-0.1153,0.8066,35.3976,-59.5472,-56.5355,6961.6652,20.2638,-1.776,0.1377,2.0964,0.7239,0.4222,98.7333,1472,40.4223,2.0897
4h_n5,3,atr,2,0,1.5,4,1276,-0.0892,0.8188,35.8150,-45.9441,-44.0871,5044.2289,25.8196,-1.43,0.1033,2.7998,0.6500,0.1567,99.7649,1868,40.4223,2.0897
