context,n_15m,detector,atr_mult,buffer,r_target,k_stop,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,share_stop_dominated_pct,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week,no_profile_trades,no_profile_share_pct,no_profile_exp_r,no_profile_gross_r,no_profile_pf_r,no_profile_win_pct,no_profile_cost_r,no_profile_stop_pct,no_profile_dom_pct,hors_plage_trades,hors_plage_share_pct,hors_plage_exp_r,hors_plage_gross_r,hors_plage_pf_r,hors_plage_win_pct,hors_plage_cost_r,hors_plage_stop_pct,hors_plage_dom_pct,poc_zone_trades,poc_zone_share_pct,poc_zone_exp_r,poc_zone_gross_r,poc_zone_pf_r,poc_zone_win_pct,poc_zone_cost_r,poc_zone_stop_pct,poc_zone_dom_pct,sous_val_trades,sous_val_share_pct,sous_val_exp_r,sous_val_gross_r,sous_val_pf_r,sous_val_win_pct,sous_val_cost_r,sous_val_stop_pct,sous_val_dom_pct,sur_vah_trades,sur_vah_share_pct,sur_vah_exp_r,sur_vah_gross_r,sur_vah_pf_r,sur_vah_win_pct,sur_vah_cost_r,sur_vah_stop_pct,sur_vah_dom_pct,dans_valeur_trades,dans_valeur_share_pct,dans_valeur_exp_r,dans_valeur_gross_r,dans_valeur_pf_r,dans_valeur_win_pct,dans_valeur_cost_r,dans_valeur_stop_pct,dans_valeur_dom_pct,primary_trades,primary_exp_r,primary_gross_r,primary_pf_r,primary_win_pct,evaluable,primary_ignored,primary_swallowed_share_pct
4h_n5,2,fractal,-,0.1,3,3,1947,-0.2019,0.6845,29.4299,-86.2963,-86.2963,7150.8297,37.1767,-2.92,0.1730,1.7372,0.9918,2.5681,99.1782,5480,38.4030,2.4962,0,0.0000,,,,,,,,649,33.3333,-0.1900,-0.0391,0.6528,30.8166,0.1509,1.9363,99.0755,77,3.9548,-0.0403,0.1434,0.9292,33.7662,0.1837,1.5435,100.0000,299,15.3570,-0.3241,-0.1573,0.4864,27.7592,0.1668,1.7617,98.9967,292,14.9974,-0.1876,-0.0038,0.6786,31.8493,0.1838,1.6328,99.3151,630,32.3575,-0.1825,0.0098,0.7013,27.1429,0.1923,1.5924,99.2063,392,-0.2559,-0.0723,0.5878,30.3571,1,490,55.5556
4h_n5,2,fractal,-,0.1,3,4,1735,-0.1559,0.6838,31.4697,-74.8526,-74.8526,5757.2284,41.2202,-2.495,0.1311,2.3060,0.8839,0.4611,99.7118,6067,38.4030,2.4962,0,0.0000,,,,,,,,569,32.7954,-0.1548,-0.0417,0.6404,32.8647,0.1131,2.5887,99.8243,74,4.2651,-0.0264,0.1142,0.9434,36.4865,0.1406,2.0449,100.0000,261,15.0432,-0.2454,-0.1185,0.5292,28.7356,0.1269,2.3460,99.6169,260,14.9856,-0.1659,-0.0282,0.6600,34.6154,0.1377,2.1975,99.2308,571,32.9107,-0.1282,0.0185,0.7478,29.2469,0.1467,2.0891,99.8249,344,-0.2086,-0.0711,0.5998,31.9767,1,538,60.9977
4h_n5,2,atr,2,0,1.5,3,1641,-0.1643,0.7307,34.7349,-74.9846,-74.0418,8196.7306,24.9264,-2.693,0.1757,1.7217,0.8360,2.8032,98.7203,2351,38.6338,2.0790,0,0.0000,,,,,,,,494,30.1036,-0.0799,0.0702,0.8380,38.0567,0.1501,1.9164,98.1781,74,4.5094,-0.1128,0.0748,0.7746,33.7838,0.1876,1.5459,98.6486,276,16.8190,-0.1811,-0.0143,0.6739,35.1449,0.1668,1.7961,99.2754,241,14.6862,-0.1975,-0.0028,0.6468,34.4398,0.1947,1.5580,98.3402,556,33.8818,-0.2236,-0.0304,0.6016,31.8345,0.1931,1.6061,99.1007,317,-0.2461,-0.0564,0.5958,34.3849,1,247,43.7943
4h_n5,2,atr,2,0,1.5,4,1442,-0.1190,0.7407,34.9515,-58.6788,-58.0406,6053.9688,30.2459,-2.021,0.1320,2.3092,0.7346,0.6241,99.6533,2870,38.6338,2.0790,0,0.0000,,,,,,,,443,30.7212,-0.0464,0.0659,0.8824,37.4718,0.1123,2.5796,99.7743,64,4.4383,-0.1438,-0.0020,0.6627,32.8125,0.1418,2.0574,98.4375,242,16.7822,-0.1561,-0.0302,0.6728,34.2975,0.1258,2.3934,99.5868,207,14.3551,-0.1378,0.0113,0.7060,33.3333,0.1490,2.0645,99.5169,486,33.7032,-0.1554,-0.0108,0.6602,33.9506,0.1446,2.1583,99.7942,279,-0.2077,-0.0636,0.5988,32.9749,1,285,50.5319
4h_n5,2,atr,2,0,2,3,1557,-0.1666,0.7336,32.1773,-73.5545,-72.7184,7789.6205,27.2159,-2.377,0.1757,1.7255,0.7932,2.7617,98.6513,2559,38.6338,2.0790,0,0.0000,,,,,,,,483,31.0212,-0.0736,0.0767,0.8573,35.4037,0.1504,1.9208,98.1366,70,4.4958,-0.1920,-0.0069,0.6420,30.0000,0.1851,1.5596,98.5714,262,16.8272,-0.1941,-0.0267,0.6702,31.6794,0.1674,1.7853,99.2366,224,14.3866,-0.2189,-0.0219,0.6313,30.3571,0.1970,1.5486,98.2143,518,33.2691,-0.2132,-0.0200,0.6281,30.5019,0.1931,1.6122,99.0347,311,-0.2604,-0.0697,0.5935,30.5466,1,253,44.8582
4h_n5,2,atr,2,0,2,4,1398,-0.1126,0.7689,33.5479,-56.3728,-54.9661,6232.9017,32.1846,-1.715,0.1317,2.3149,0.7122,0.6438,99.6423,3034,38.6338,2.0790,0,0.0000,,,,,,,,436,31.1874,-0.0391,0.0735,0.9053,35.7798,0.1125,2.5805,99.7706,60,4.2918,-0.0992,0.0460,0.7631,31.6667,0.1452,1.9640,98.3333,240,17.1674,-0.1987,-0.0736,0.6053,30.8333,0.1250,2.3922,99.5833,193,13.8054,-0.0859,0.0638,0.8203,33.6788,0.1497,2.0706,99.4819,469,33.5479,-0.1497,-0.0059,0.6798,33.0490,0.1438,2.1738,99.7868,276,-0.1887,-0.0450,0.6452,31.5217,1,288,51.0638
4h_n5,2,atr,2,0,3,3,1488,-0.1618,0.7516,30.5108,-71.9473,-70.3438,7761.2806,30.0021,-1.985,0.1756,1.7300,0.7580,2.6882,98.6559,2797,38.6338,2.0790,0,0.0000,,,,,,,,463,31.1156,-0.0477,0.1026,0.9111,33.9093,0.1504,1.9313,98.0562,63,4.2339,-0.2371,-0.0461,0.5882,26.9841,0.1910,1.4977,98.4127,257,17.2715,-0.2947,-0.1280,0.5304,27.2374,0.1668,1.7865,99.2218,209,14.0457,-0.1829,0.0150,0.7046,29.1866,0.1978,1.5528,98.0861,496,33.3333,-0.1809,0.0115,0.6907,30.0403,0.1924,1.6170,99.1935,308,-0.2446,-0.0542,0.6302,28.8961,1,256,45.3901
4h_n5,2,atr,2,0,3,4,1343,-0.1021,0.7961,32.6880,-51.9472,-50.3503,6335.3741,34.1776,-1.384,0.1325,2.3190,0.6842,0.6701,99.6277,3212,38.6338,2.0790,0,0.0000,,,,,,,,407,30.3053,-0.0197,0.0922,0.9531,35.6265,0.1119,2.6116,99.7543,57,4.2442,-0.1617,-0.0174,0.6489,28.0702,0.1443,1.9771,98.2456,231,17.2003,-0.2045,-0.0788,0.5997,29.8701,0.1257,2.4020,99.5671,190,14.1474,-0.1009,0.0485,0.7999,31.5789,0.1495,2.0986,99.4737,458,34.1028,-0.1169,0.0287,0.7520,32.5328,0.1456,2.1511,99.7817,273,-0.1871,-0.0430,0.6577,30.0366,1,291,51.5957
4h_n5,2,atr,2,0.1,1.5,3,1790,-0.1566,0.7399,35.0838,-75.8790,-75.4450,8586.8896,27.4821,-2.663,0.1750,1.7382,0.9119,2.8492,98.9385,3039,38.6338,2.0790,0,0.0000,,,,,,,,543,30.3352,-0.0827,0.0656,0.8352,38.4899,0.1483,1.9609,98.3425,80,4.4693,-0.1127,0.0825,0.7689,33.7500,0.1952,1.5010,98.7500,303,16.9274,-0.2220,-0.0542,0.6122,32.6733,0.1678,1.7813,99.3399,256,14.3017,-0.1672,0.0241,0.6954,34.7656,0.1913,1.5815,98.8281,608,33.9665,-0.1913,0.0015,0.6514,33.5526,0.1928,1.6150,99.3421,334,-0.2395,-0.0542,0.6097,34.1317,1,313,48.3771
4h_n5,2,atr,2,0.1,1.5,4,1548,-0.1157,0.7404,34.7545,-59.8631,-59.7250,6134.9937,33.2013,-2.031,0.1311,2.3340,0.7886,0.5168,99.6770,3664,38.6338,2.0790,0,0.0000,,,,,,,,483,31.2016,-0.0578,0.0532,0.8586,37.8882,0.1110,2.6413,99.7930,68,4.3928,-0.1543,-0.0058,0.6235,30.8824,0.1485,1.9997,98.5294,255,16.4729,-0.2049,-0.0783,0.5907,30.9804,0.1266,2.3805,99.6078,219,14.1473,-0.1249,0.0195,0.7275,33.7900,0.1444,2.1159,99.5434,523,33.7855,-0.1168,0.0272,0.7352,34.6080,0.1440,2.1624,99.8088,283,-0.2307,-0.0913,0.5675,31.4488,1,364,56.2597
