n_5m,n_1h,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_1h,h1_state_changes_per_week
2,3,3,0.1,1.5,0.5,1005,-0.2527,0.5757,31.8408,-66.8550,-66.8366,6288.6654,10.1764,-3.79,0.2571,1.4425,0.7517,11.3433,0,766,36.0812,5.8691
2,3,3,0.1,2,0,960,-0.2567,0.5901,28.6458,-65.2078,-65.0220,6154.0747,10.8610,-3.262,0.2612,1.4209,0.7180,11.6667,0,821,36.0812,5.8691
2,3,3,0.1,2,0.5,960,-0.2567,0.5901,28.6458,-65.2078,-65.0220,6154.0747,10.8610,-3.262,0.2612,1.4209,0.7180,11.6667,0,821,36.0812,5.8691
2,3,3,0.1,3,0,907,-0.2463,0.6157,27.6736,-62.3961,-60.7013,6056.2874,11.4588,-2.592,0.2684,1.3396,0.6784,12.1279,0,885,36.0812,5.8691
2,3,3,0.1,3,0.5,907,-0.2463,0.6157,27.6736,-62.3961,-60.7013,6056.2874,11.4588,-2.592,0.2684,1.3396,0.6784,12.1279,0,885,36.0812,5.8691
2,5,1.5,0,1.5,0,2147,-0.4340,0.4096,32.5571,-96.7379,-96.7326,8395.1726,11.3443,-7.877,0.4417,0.7886,1.6058,39.3572,0,1227,38.8550,9.3089
2,5,1.5,0,1.5,0.5,2147,-0.4340,0.4096,32.5571,-96.7379,-96.7326,8395.1726,11.3443,-7.877,0.4417,0.7886,1.6058,39.3572,0,1227,38.8550,9.3089
2,5,1.5,0,2,0,2041,-0.4197,0.4524,29.0544,-95.5994,-95.5944,8558.7907,12.2094,-6.542,0.4477,0.7760,1.5266,39.9804,0,1372,38.8550,9.3089
2,5,1.5,0,2,0.5,2041,-0.4197,0.4524,29.0544,-95.5994,-95.5944,8558.7907,12.2094,-6.542,0.4477,0.7760,1.5266,39.9804,0,1372,38.8550,9.3089
2,5,1.5,0,3,0,1933,-0.4335,0.4515,25.2975,-95.2269,-95.2087,8236.8983,13.5192,-5.805,0.4566,0.7508,1.4458,41.1278,0,1545,38.8550,9.3089
