n_5m,n_1h,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_1h,h1_state_changes_per_week
2,3,3,0.1,1.5,0.5,1268,-0.2012,0.6258,31.6246,-71.5828,-71.2741,5369.4505,11.3322,-3.084,0.1762,2.1541,0.6460,4.4953,0,1143,38.6966,5.2491
2,3,3,0.1,2,0,1216,-0.2139,0.6211,28.9474,-72.1720,-72.0202,5162.8936,11.7706,-2.909,0.1793,2.0970,0.6195,4.6875,0,1212,38.6966,5.2491
2,3,3,0.1,2,0.5,1216,-0.2139,0.6211,28.9474,-72.1720,-72.0202,5162.8936,11.7706,-2.909,0.1793,2.0970,0.6195,4.6875,0,1212,38.6966,5.2491
2,3,3,0.1,3,0,1162,-0.1938,0.6626,26.7642,-66.6986,-66.5171,5267.3224,12.3139,-2.242,0.1831,2.0253,0.5920,4.9053,0,1285,38.6966,5.2491
2,3,3,0.1,3,0.5,1162,-0.1938,0.6626,26.7642,-66.6986,-66.5171,5267.3224,12.3139,-2.242,0.1831,2.0253,0.5920,4.9053,0,1285,38.6966,5.2491
2,5,1.5,0,1.5,0,3040,-0.4183,0.4779,29.9671,-99.5724,-99.5633,6464.3005,11.7399,-8.305,0.3409,1.0817,1.5487,25.3947,0,1715,38.5412,9.7458
2,5,1.5,0,1.5,0.5,3040,-0.4183,0.4779,29.9671,-99.5724,-99.5633,6464.3005,11.7399,-8.305,0.3409,1.0817,1.5487,25.3947,0,1715,38.5412,9.7458
2,5,1.5,0,2,0,2915,-0.4177,0.5081,26.1750,-99.4746,-99.4649,6570.0321,12.6438,-7.43,0.3428,1.0793,1.4850,25.8319,0,1918,38.5412,9.7458
2,5,1.5,0,2,0.5,2915,-0.4177,0.5081,26.1750,-99.4746,-99.4649,6570.0321,12.6438,-7.43,0.3428,1.0793,1.4850,25.8319,0,1918,38.5412,9.7458
2,5,1.5,0,3,0,2787,-0.4465,0.5254,22.7485,-99.5444,-99.5291,6655.0719,13.9174,-6.855,0.3478,1.0574,1.4198,26.5877,0,2127,38.5412,9.7458
2,5,1.5,0,3,0.5,2787,-0.4465,0.5254,22.7485,-99.5444,-99.5291,6655.0719,13.9174,-6.855,0.3478,1.0574,1.4198,26.5877,0,2127,38.5412,9.7458
2,5,1.5,0.1,1.5,0,2845,-0.4086,0.4929,30.2285,-99.3547,-99.3379,6488.6092,11.8716,-7.818,0.3290,1.1130,1.4493,23.4798,0,1548,38.5412,9.7458
2,5,1.5,0.1,1.5,0.5,2845,-0.4086,0.4929,30.2285,-99.3547,-99.3379,6488.6092,11.8716,-7.818,0.3290,1.1130,1.4493,23.4798,0,1548,38.5412,9.7458
