n_5m,n_1h,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_1h,h1_state_changes_per_week
2,3,3,0.1,1.5,0.5,996,-0.3796,0.4781,29.9197,-76.2461,-75.6297,6788.3797,10.1623,-5.091,0.3680,1.0474,0.7450,24.1968,0,868,39.1791,5.7958
2,3,3,0.1,2,0,953,-0.4020,0.4796,26.2329,-76.7279,-75.6251,6570.2303,10.8106,-4.714,0.3756,1.0230,0.7128,24.8688,0,923,39.1791,5.7958
2,3,3,0.1,2,0.5,953,-0.4020,0.4796,26.2329,-76.7279,-75.6251,6570.2303,10.8106,-4.714,0.3756,1.0230,0.7128,24.8688,0,923,39.1791,5.7958
2,3,3,0.1,3,0,911,-0.4293,0.4644,23.9297,-77.6730,-76.7022,6338.3375,11.2215,-4.568,0.3851,0.9764,0.6814,25.7958,0,980,39.1791,5.7958
2,3,3,0.1,3,0.5,911,-0.4293,0.4644,23.9297,-77.6730,-76.7022,6338.3375,11.2215,-4.568,0.3851,0.9764,0.6814,25.7958,0,980,39.1791,5.7958
2,5,1.5,0,1.5,0,2195,-0.6583,0.4019,29.0661,-98.6511,-98.6511,9491.0669,12.0196,-10.447,0.6238,0.5782,1.6417,58.3144,0,1388,37.8514,9.0785
2,5,1.5,0,1.5,0.5,2195,-0.6583,0.4019,29.0661,-98.6511,-98.6511,9491.0669,12.0196,-10.447,0.6238,0.5782,1.6417,58.3144,0,1388,37.8514,9.0785
2,5,1.5,0,2,0,2110,-0.6660,0.4239,24.8341,-98.5097,-98.5091,9250.5080,13.0288,-9.619,0.6283,0.5697,1.5782,58.7678,0,1521,37.8514,9.0785
2,5,1.5,0,2,0.5,2110,-0.6660,0.4239,24.8341,-98.5097,-98.5091,9250.5080,13.0288,-9.619,0.6283,0.5697,1.5782,58.7678,0,1521,37.8514,9.0785
2,5,1.5,0,3,0,2013,-0.6681,0.4589,21.4108,-98.1150,-98.0835,9429.9373,14.1817,-8.342,0.6397,0.5558,1.5056,59.9603,0,1685,37.8514,9.0785
2,5,1.5,0,3,0.5,2013,-0.6681,0.4589,21.4108,-98.1150,-98.0835,9429.9373,14.1817,-8.342,0.6397,0.5558,1.5056,59.9603,0,1685,37.8514,9.0785
2,5,1.5,0.1,1.5,0,2105,-0.6541,0.4042,29.0736,-98.4936,-98.4936,9206.7548,12.3250,-10.154,0.6066,0.5913,1.5744,56.8171,0,1286,37.8514,9.0785
2,5,1.5,0.1,1.5,0.5,2105,-0.6541,0.4042,29.0736,-98.4936,-98.4936,9206.7548,12.3250,-10.154,0.6066,0.5913,1.5744,56.8171,0,1286,37.8514,9.0785
2,5,1.5,0.1,2,0,2024,-0.6590,0.4310,24.8518,-98.2721,-98.2715,9046.9680,13.2114,-9.17,0.6128,0.5792,1.5138,57.2628,0,1402,37.8514,9.0785
2,5,1.5,0.1,2,0.5,2024,-0.6590,0.4310,24.8518,-98.2721,-98.2715,9046.9680,13.2114,-9.17,0.6128,0.5792,1.5138,57.2628,0,1402,37.8514,9.0785
2,5,1.5,0.1,3,0,1923,-0.6588,0.4575,21.3729,-97.7833,-97.7717,9093.8835,14.3476,-8.162,0.6238,0.5660,1.4383,58.3463,0,1560,37.8514,9.0785
2,5,1.5,0.1,3,0.5,1923,-0.6588,0.4575,21.3729,-97.7833,-97.7717,9093.8835,14.3476,-8.162,0.6238,0.5660,1.4383,58.3463,0,1560,37.8514,9.0785
2,5,2,0,1.5,0,1707,-0.5586,0.4087,28.8811,-95.9608,-95.9606,8398.8605,11.0916,-8.655,0.5135,0.7134,1.2767,46.5144,0,1256,38.4529,7.9843
2,5,2,0,1.5,0.5,1707,-0.5586,0.4087,28.8811,-95.9608,-95.9606,8398.8605,11.0916,-8.655,0.5135,0.7134,1.2767,46.5144,0,1256,38.4529,7.9843
2,5,2,0,2,0,1643,-0.5694,0.4286,25.0152,-95.7623,-95.6914,8257.1355,11.8269,-8.086,0.5212,0.6945,1.2289,47.5350,0,1352,38.4529,7.9843
2,5,2,0,2,0.5,1643,-0.5694,0.4286,25.0152,-95.7623,-95.6914,8257.1355,11.8269,-8.086,0.5212,0.6945,1.2289,47.5350,0,1352,38.4529,7.9843
2,5,2,0,3,0,1568,-0.5789,0.4501,22.2577,-95.0201,-95.0128,8363.5003,12.7701,-7.125,0.5322,0.6752,1.1728,48.7245,0,1474,38.4529,7.9843
2,5,2,0,3,0.5,1568,-0.5789,0.4501,22.2577,-95.0201,-95.0128,8363.5003,12.7701,-7.125,0.5322,0.6752,1.1728,48.7245,0,1474,38.4529,7.9843
2,5,2,0.1,1.5,0,1621,-0.5544,0.4153,29.0561,-95.5367,-95.5108,8229.3457,11.0810,-8.179,0.4976,0.7320,1.2124,45.4658,0,1143,38.4529,7.9843
2,5,2,0.1,1.5,0.5,1621,-0.5544,0.4153,29.0561,-95.5367,-95.5108,8229.3457,11.0810,-8.179,0.4976,0.7320,1.2124,45.4658,0,1143,38.4529,7.9843
2,5,2,0.1,2,0,1560,-0.5623,0.4362,25.0641,-95.3021,-95.1810,8093.4545,11.7923,-7.718,0.5053,0.7122,1.1668,46.4744,0,1228,38.4529,7.9843
